ordernumber,orderdate,quantityordered,priceeach,sales,country,customername,productline,dealsize,status,producto_id,cliente_id,continente,subregion,capital
10403,2005-04-08,24,100.0,2434.56,United Kingdom,"UK Collectables, Ltd.",Motorcycles,Small,Shipped,1,33,Europe,Northern Europe,London
10417,2005-05-13,66,100.0,7516.08,Spain,Euro Shopping Channel,Motorcycles,Large,Disputed,1,76,Europe,Southern Europe,Madrid
10103,2003-01-29,26,100.0,5404.62,Norway,Baane Mini Imports,Classic Cars,Medium,Shipped,2,58,Europe,Northern Europe,Oslo
10112,2003-03-24,29,100.0,7209.11,Sweden,"Volvo Model Replicas, Co",Classic Cars,Large,Shipped,2,22,Europe,Northern Europe,Stockholm
10126,2003-05-28,38,100.0,7329.06,Spain,"Corrida Auto Replicas, Ltd",Classic Cars,Large,Shipped,2,89,Europe,Southern Europe,Madrid
10140,2003-07-24,37,100.0,7374.1,United States,Technics Stores Inc.,Classic Cars,Large,Shipped,2,49,Americas,North America,"Washington, D.C."
10150,2003-09-19,45,100.0,10993.5,Singapore,"Dragon Souveniers, Ltd.",Classic Cars,Large,Shipped,2,91,Asia,South-Eastern Asia,Singapore
10163,2003-10-20,21,100.0,4860.24,United States,Classic Legends Inc.,Classic Cars,Medium,Shipped,2,59,Americas,North America,"Washington, D.C."
10174,2003-11-06,34,100.0,8014.82,Australia,"Australian Gift Network, Co",Classic Cars,Large,Shipped,2,42,Oceania,Australia and New Zealand,Canberra
10183,2003-11-13,23,100.0,5372.57,United States,"Classic Gift Ideas, Inc",Classic Cars,Medium,Shipped,2,92,Americas,North America,"Washington, D.C."
10194,2003-11-25,42,100.0,7290.36,France,"Saveley & Henriot, Co.",Classic Cars,Large,Shipped,2,60,Europe,Western Europe,Paris
10206,2003-12-05,47,100.0,9064.89,Canada,Canadian Gift Exchange Network,Classic Cars,Large,Shipped,2,80,Americas,North America,Ottawa
10215,2004-01-29,35,100.0,6075.3,United States,West Coast Collectables Co.,Classic Cars,Medium,Shipped,2,15,Americas,North America,"Washington, D.C."
10228,2004-03-10,29,100.0,6463.23,United States,Cambridge Collectables Co.,Classic Cars,Medium,Shipped,2,62,Americas,North America,"Washington, D.C."
10245,2004-05-04,34,100.0,6120.34,United States,Super Scale Inc.,Classic Cars,Medium,Shipped,2,62,Americas,North America,"Washington, D.C."
10258,2004-06-15,32,100.0,7680.64,Japan,"Tokyo Collectables, Ltd",Classic Cars,Large,Shipped,2,47,Asia,Eastern Asia,Tokyo
10270,2004-07-19,21,100.0,4905.39,Australia,Souveniers And Things Co.,Classic Cars,Medium,Shipped,2,62,Oceania,Australia and New Zealand,Canberra
10280,2004-08-17,34,100.0,8014.82,Italy,Amica Models & Co.,Classic Cars,Large,Shipped,2,51,Europe,Southern Europe,Rome
10291,2004-09-08,37,100.0,7136.19,Sweden,Scandinavian Gift Ideas,Classic Cars,Large,Shipped,2,55,Europe,Northern Europe,Stockholm
10304,2004-10-11,47,100.0,10172.7,France,Auto Assoc. & Cie.,Classic Cars,Large,Shipped,2,64,Europe,Western Europe,Paris
10312,2004-10-21,48,100.0,11623.7,United States,Mini Gifts Distributors Ltd.,Classic Cars,Large,Shipped,2,3,Americas,North America,"Washington, D.C."
10322,2004-11-04,40,100.0,6000.4,United States,Online Diecast Creations Co.,Classic Cars,Medium,Shipped,2,51,Americas,North America,"Washington, D.C."
10333,2004-11-18,26,100.0,3003.0,United States,Mini Wheels Co.,Classic Cars,Medium,Shipped,2,7,Americas,North America,"Washington, D.C."
10347,2004-11-29,30,100.0,3944.7,Australia,"Australian Collectors, Co.",Classic Cars,Medium,Shipped,2,21,Oceania,Australia and New Zealand,Canberra
10357,2004-12-10,32,100.0,5691.84,United States,Mini Gifts Distributors Ltd.,Classic Cars,Medium,Shipped,2,73,Americas,North America,"Washington, D.C."
10369,2005-01-20,41,100.0,4514.92,United States,Collectables For Less Inc.,Classic Cars,Medium,Shipped,2,39,Americas,North America,"Washington, D.C."
10381,2005-02-17,36,100.0,8254.8,United States,Corporate Gift Ideas Co.,Classic Cars,Large,Shipped,2,18,Americas,North America,"Washington, D.C."
10391,2005-03-09,24,100.0,2416.56,Australia,"Anna's Decorations, Ltd",Classic Cars,Small,Shipped,2,4,Oceania,Australia and New Zealand,Canberra
10411,2005-05-01,23,100.0,4140.23,Canada,Quebec Home Shopping Network,Classic Cars,Medium,Shipped,2,89,Americas,North America,Ottawa
10424,2005-05-31,50,100.0,12001.0,Spain,Euro Shopping Channel,Classic Cars,Large,In Process,2,60,Europe,Southern Europe,Madrid
10107,2003-02-24,39,99.91,3896.49,United States,Land of Toys Inc.,Motorcycles,Medium,Shipped,3,14,Americas,North America,"Washington, D.C."
10120,2003-04-29,29,96.34,2793.86,Australia,"Australian Collectors, Co.",Motorcycles,Small,Shipped,3,9,Oceania,Australia and New Zealand,Canberra
10134,2003-07-01,27,100.0,3307.77,France,Lyon Souveniers,Motorcycles,Medium,Shipped,3,90,Europe,Western Europe,Paris
10145,2003-08-25,37,100.0,5192.95,United States,Toys4GrownUps.com,Motorcycles,Medium,Shipped,3,53,Americas,North America,"Washington, D.C."
10159,2003-10-10,37,100.0,5016.83,United States,Corporate Gift Ideas Co.,Motorcycles,Medium,Shipped,3,2,Americas,North America,"Washington, D.C."
10168,2003-10-28,27,100.0,3660.93,United States,Technics Stores Inc.,Motorcycles,Medium,Shipped,3,84,Americas,North America,"Washington, D.C."
10180,2003-11-11,42,100.0,4695.6,France,Daedalus Designs Imports,Motorcycles,Medium,Shipped,3,92,Europe,Western Europe,Paris
10188,2003-11-18,38,96.34,3660.92,Norway,Herkku Gifts,Motorcycles,Medium,Shipped,3,60,Europe,Northern Europe,Oslo
10201,2003-12-01,24,100.0,3025.92,United States,Mini Wheels Co.,Motorcycles,Medium,Shipped,3,71,Americas,North America,"Washington, D.C."
10210,2004-01-12,23,100.0,3009.09,Japan,Osaka Souveniers Co.,Motorcycles,Medium,Shipped,3,44,Asia,Eastern Asia,Tokyo
10223,2004-02-20,47,100.0,5422.39,Australia,"Australian Collectors, Co.",Motorcycles,Medium,Shipped,3,8,Oceania,Australia and New Zealand,Canberra
10236,2004-04-03,22,100.0,2852.08,United States,Motor Mint Distributors Inc.,Motorcycles,Small,Shipped,3,47,Americas,North America,"Washington, D.C."
10251,2004-05-18,44,100.0,5756.52,United States,Tekni Collectables Inc.,Motorcycles,Medium,Shipped,3,35,Americas,North America,"Washington, D.C."
10263,2004-06-28,40,100.0,4472.0,United States,Gift Depot Inc.,Motorcycles,Medium,Shipped,3,78,Americas,North America,"Washington, D.C."
10275,2004-07-23,22,100.0,2904.44,France,La Rochelle Gifts,Motorcycles,Small,Shipped,3,81,Europe,Western Europe,Paris
10285,2004-08-27,47,100.0,6484.59,United States,Marta's Replicas Co.,Motorcycles,Medium,Shipped,3,36,Americas,North America,"Washington, D.C."
10298,2004-09-27,39,96.34,3757.26,France,Atelier graphique,Motorcycles,Medium,Shipped,3,50,Europe,Western Europe,Paris
10308,2004-10-15,34,100.0,4043.96,United States,Mini Classics,Motorcycles,Medium,Shipped,3,4,Americas,North America,"Washington, D.C."
10318,2004-11-02,45,100.0,5566.5,United States,Diecast Classics Inc.,Motorcycles,Medium,Shipped,3,2,Americas,North America,"Washington, D.C."
10329,2004-11-15,20,100.0,3176.0,United States,Land of Toys Inc.,Motorcycles,Medium,Shipped,3,6,Americas,North America,"Washington, D.C."
10339,2004-11-23,40,68.92,2756.8,Japan,"Tokyo Collectables, Ltd",Motorcycles,Small,Shipped,3,54,Asia,Eastern Asia,Tokyo
10361,2004-12-17,26,51.15,1329.9,Australia,Souveniers And Things Co.,Motorcycles,Small,Shipped,3,4,Oceania,Australia and New Zealand,Canberra
10374,2005-02-02,39,100.0,5288.01,Australia,"Australian Gift Network, Co",Motorcycles,Medium,Shipped,3,54,Oceania,Australia and New Zealand,Canberra
10388,2005-03-03,50,44.51,2225.5,United States,FunGiftIdeas.com,Motorcycles,Small,Shipped,3,93,Americas,North America,"Washington, D.C."
10402,2005-04-07,45,100.0,5833.8,France,Auto Canal Petit,Motorcycles,Medium,Shipped,3,63,Europe,Western Europe,Paris
10417,2005-05-13,45,100.0,5887.35,Spain,Euro Shopping Channel,Motorcycles,Medium,Disputed,3,18,Europe,Southern Europe,Madrid
10107,2003-02-24,27,100.0,6065.55,United States,Land of Toys Inc.,Motorcycles,Medium,Shipped,4,90,Americas,North America,"Washington, D.C."
10120,2003-04-29,46,100.0,9264.86,Australia,"Australian Collectors, Co.",Motorcycles,Large,Shipped,4,44,Oceania,Australia and New Zealand,Canberra
10134,2003-07-01,31,100.0,7023.98,France,Lyon Souveniers,Motorcycles,Large,Shipped,4,34,Europe,Western Europe,Paris
10145,2003-08-25,33,100.0,5176.38,United States,Toys4GrownUps.com,Motorcycles,Medium,Shipped,4,74,Americas,North America,"Washington, D.C."
10159,2003-10-10,22,100.0,4132.7,United States,Corporate Gift Ideas Co.,Motorcycles,Medium,Shipped,4,62,Americas,North America,"Washington, D.C."
10168,2003-10-28,20,100.0,4183.0,United States,Technics Stores Inc.,Motorcycles,Medium,Shipped,4,100,Americas,North America,"Washington, D.C."
10180,2003-11-11,41,100.0,8892.9,France,Daedalus Designs Imports,Motorcycles,Large,Shipped,4,14,Europe,Western Europe,Paris
10188,2003-11-18,45,100.0,8714.7,Norway,Herkku Gifts,Motorcycles,Large,Shipped,4,95,Europe,Northern Europe,Oslo
10201,2003-12-01,49,100.0,8065.89,United States,Mini Wheels Co.,Motorcycles,Large,Shipped,4,48,Americas,North America,"Washington, D.C."
10210,2004-01-12,34,100.0,6123.4,Japan,Osaka Souveniers Co.,Motorcycles,Medium,Shipped,4,15,Asia,Eastern Asia,Tokyo
10223,2004-02-20,49,100.0,9774.03,Australia,"Australian Collectors, Co.",Motorcycles,Large,Shipped,4,72,Oceania,Australia and New Zealand,Canberra
10237,2004-04-05,39,100.0,7023.9,United States,Vitachrome Inc.,Motorcycles,Large,Shipped,4,78,Americas,North America,"Washington, D.C."
10251,2004-05-18,43,100.0,7078.23,United States,Tekni Collectables Inc.,Motorcycles,Large,Shipped,4,87,Americas,North America,"Washington, D.C."
10263,2004-06-28,41,100.0,8336.94,United States,Gift Depot Inc.,Motorcycles,Large,Shipped,4,62,Americas,North America,"Washington, D.C."
10275,2004-07-23,36,100.0,6901.92,France,La Rochelle Gifts,Motorcycles,Medium,Shipped,4,40,Europe,Western Europe,Paris
10285,2004-08-27,27,100.0,5438.07,United States,Marta's Replicas Co.,Motorcycles,Medium,Shipped,4,85,Americas,North America,"Washington, D.C."
10299,2004-09-30,29,100.0,6683.34,Finland,"Toys of Finland, Co.",Motorcycles,Medium,Shipped,4,80,Europe,Northern Europe,Helsinki
10308,2004-10-15,20,100.0,4570.4,United States,Mini Classics,Motorcycles,Medium,Shipped,4,82,Americas,North America,"Washington, D.C."
10318,2004-11-02,37,100.0,7667.14,United States,Diecast Classics Inc.,Motorcycles,Large,Shipped,4,53,Americas,North America,"Washington, D.C."
10329,2004-11-15,26,100.0,5868.2,United States,Land of Toys Inc.,Motorcycles,Medium,Shipped,4,24,Americas,North America,"Washington, D.C."
10339,2004-11-23,39,76.67,2990.13,Japan,"Tokyo Collectables, Ltd",Motorcycles,Small,Shipped,4,26,Asia,Eastern Asia,Tokyo
10362,2005-01-05,22,100.0,3664.1,United States,Technics Stores Inc.,Motorcycles,Medium,Shipped,4,89,Americas,North America,"Washington, D.C."
10374,2005-02-02,22,100.0,3834.38,Australia,"Australian Gift Network, Co",Motorcycles,Medium,Shipped,4,60,Oceania,Australia and New Zealand,Canberra
10388,2005-03-03,21,86.77,1822.17,United States,FunGiftIdeas.com,Motorcycles,Small,Shipped,4,41,Americas,North America,"Washington, D.C."
10403,2005-04-08,66,100.0,11886.6,United Kingdom,"UK Collectables, Ltd.",Motorcycles,Large,Shipped,4,29,Europe,Northern Europe,London
10417,2005-05-13,56,100.0,9218.16,Spain,Euro Shopping Channel,Motorcycles,Large,Disputed,4,15,Europe,Southern Europe,Madrid
10105,2003-02-11,50,100.0,7208.0,Denmark,Danish Wholesale Imports,Classic Cars,Large,Shipped,5,45,Europe,Northern Europe,Copenhagen
10119,2003-04-28,46,100.0,5004.8,Austria,Salzburg Collectables,Classic Cars,Medium,Shipped,5,65,Europe,Central Europe,Vienna
10129,2003-06-12,33,100.0,4398.24,United Kingdom,"Stylish Desk Decors, Co.",Classic Cars,Medium,Shipped,5,89,Europe,Northern Europe,London
10143,2003-08-10,49,100.0,5597.76,United States,Mini Creations Ltd.,Classic Cars,Medium,Shipped,5,71,Americas,North America,"Washington, D.C."
10155,2003-10-06,32,100.0,4526.08,Finland,"Toys of Finland, Co.",Classic Cars,Medium,Shipped,5,9,Europe,Northern Europe,Helsinki
10167,2003-10-23,44,100.0,5924.16,Sweden,Scandinavian Gift Ideas,Classic Cars,Medium,Cancelled,5,88,Europe,Northern Europe,Stockholm
10178,2003-11-08,24,100.0,3492.48,France,Alpha Cognac,Classic Cars,Medium,Shipped,5,1,Europe,Western Europe,Paris
10186,2003-11-14,26,100.0,3854.24,United Kingdom,"Double Decker Gift Stores, Ltd",Classic Cars,Medium,Shipped,5,8,Europe,Northern Europe,London
10197,2003-11-26,45,100.0,5324.4,Spain,Enaco Distributors,Classic Cars,Medium,Shipped,5,88,Europe,Southern Europe,Madrid
10209,2004-01-09,39,100.0,5197.92,United States,"Men 'R' US Retailers, Ltd.",Classic Cars,Medium,Shipped,5,63,Americas,North America,"Washington, D.C."
10222,2004-02-19,49,100.0,5997.6,United States,Collectable Mini Designs Co.,Classic Cars,Medium,Shipped,5,11,Americas,North America,"Washington, D.C."
10248,2004-05-07,20,100.0,2910.4,United States,Land of Toys Inc.,Classic Cars,Small,Cancelled,5,81,Americas,North America,"Washington, D.C."
10261,2004-06-17,27,100.0,3378.24,Canada,Quebec Home Shopping Network,Classic Cars,Medium,Shipped,5,8,Americas,North America,Ottawa
10273,2004-07-21,30,100.0,3508.8,Belgium,Petit Auto,Classic Cars,Medium,Shipped,5,35,Europe,Western Europe,Brussels
10283,2004-08-20,25,100.0,2992.0,Canada,"Royal Canadian Collectables, Ltd.",Classic Cars,Small,Shipped,5,35,Americas,North America,Ottawa
10295,2004-09-10,24,100.0,3427.2,United States,Gifts4AllAges.com,Classic Cars,Medium,Shipped,5,33,Americas,North America,"Washington, D.C."
10307,2004-10-14,22,100.0,2692.8,United States,"Classic Gift Ideas, Inc",Classic Cars,Small,Shipped,5,5,Americas,North America,"Washington, D.C."
10316,2004-11-01,33,100.0,4128.96,United Kingdom,giftsbymail.co.uk,Classic Cars,Medium,Shipped,5,41,Europe,Northern Europe,London
10325,2004-11-05,47,64.93,3051.71,Norway,Baane Mini Imports,Classic Cars,Medium,Shipped,5,28,Europe,Northern Europe,Oslo
10337,2004-11-21,25,48.05,1201.25,United States,Classic Legends Inc.,Classic Cars,Small,Shipped,5,7,Americas,North America,"Washington, D.C."
10350,2004-12-02,26,75.47,1962.22,Spain,Euro Shopping Channel,Classic Cars,Small,Shipped,5,73,Europe,Southern Europe,Madrid
10359,2004-12-15,48,54.68,2624.64,France,Reims Collectables,Classic Cars,Small,Shipped,5,72,Europe,Western Europe,Paris
10373,2005-01-31,39,100.0,4046.25,Finland,"Oulu Toy Supplies, Inc.",Classic Cars,Medium,Shipped,5,12,Europe,Northern Europe,Helsinki
10384,2005-02-23,34,100.0,4846.7,United States,Corporate Gift Ideas Co.,Classic Cars,Medium,Shipped,5,34,Americas,North America,"Washington, D.C."
10395,2005-03-17,32,100.0,3370.56,France,Lyon Souveniers,Classic Cars,Medium,Shipped,5,33,Europe,Western Europe,Paris
10400,2005-04-01,64,100.0,9661.44,United States,The Sharp Gifts Warehouse,Classic Cars,Large,Shipped,5,48,Americas,North America,"Washington, D.C."
10414,2005-05-06,19,100.0,2764.88,United States,Gifts4AllAges.com,Classic Cars,Small,On Hold,5,23,Americas,North America,"Washington, D.C."
10103,2003-01-29,42,100.0,5398.26,Norway,Baane Mini Imports,Classic Cars,Medium,Shipped,6,62,Europe,Northern Europe,Oslo
10114,2003-04-01,31,100.0,4305.28,France,"La Corne D'abondance, Co.",Classic Cars,Medium,Shipped,6,88,Europe,Western Europe,Paris
10126,2003-05-28,22,100.0,3347.74,Spain,"Corrida Auto Replicas, Ltd",Classic Cars,Medium,Shipped,6,37,Europe,Southern Europe,Madrid
10140,2003-07-24,26,100.0,3188.12,United States,Technics Stores Inc.,Classic Cars,Medium,Shipped,6,99,Americas,North America,"Washington, D.C."
10150,2003-09-19,20,100.0,3191.2,Singapore,"Dragon Souveniers, Ltd.",Classic Cars,Medium,Shipped,6,44,Asia,South-Eastern Asia,Singapore
10164,2003-10-21,21,100.0,3536.82,Austria,Mini Auto Werke,Classic Cars,Medium,Resolved,6,86,Europe,Central Europe,Vienna
10175,2003-11-06,33,100.0,5362.83,United Kingdom,"Stylish Desk Decors, Co.",Classic Cars,Medium,Shipped,6,91,Europe,Northern Europe,London
10183,2003-11-13,28,100.0,3433.36,United States,"Classic Gift Ideas, Inc",Classic Cars,Medium,Shipped,6,35,Americas,North America,"Washington, D.C."
10194,2003-11-25,26,100.0,4263.74,France,"Saveley & Henriot, Co.",Classic Cars,Medium,Shipped,6,65,Europe,Western Europe,Paris
10207,2003-12-09,31,100.0,4076.19,United States,Diecast Collectables,Classic Cars,Medium,Shipped,6,99,Americas,North America,"Washington, D.C."
10217,2004-02-04,48,100.0,7020.48,Singapore,Handji Gifts& Co,Classic Cars,Large,Shipped,6,47,Asia,South-Eastern Asia,Singapore
10229,2004-03-11,50,100.0,6426.5,United States,Mini Gifts Distributors Ltd.,Classic Cars,Medium,Shipped,6,78,Americas,North America,"Washington, D.C."
10245,2004-05-04,28,100.0,4591.72,United States,Super Scale Inc.,Classic Cars,Medium,Shipped,6,3,Americas,North America,"Washington, D.C."
10259,2004-06-15,26,100.0,4033.38,Singapore,Handji Gifts& Co,Classic Cars,Medium,Shipped,6,1,Asia,South-Eastern Asia,Singapore
10270,2004-07-19,32,100.0,4302.08,Australia,Souveniers And Things Co.,Classic Cars,Medium,Shipped,6,5,Oceania,Australia and New Zealand,Canberra
10281,2004-08-19,44,100.0,7020.64,United States,Diecast Classics Inc.,Classic Cars,Large,Shipped,6,90,Americas,North America,"Washington, D.C."
10291,2004-09-08,30,100.0,3855.9,Sweden,Scandinavian Gift Ideas,Classic Cars,Medium,Shipped,6,14,Europe,Northern Europe,Stockholm
10305,2004-10-13,38,100.0,6680.78,United States,Marta's Replicas Co.,Classic Cars,Medium,Shipped,6,27,Americas,North America,"Washington, D.C."
10313,2004-10-22,40,100.0,6678.0,Canada,Canadian Gift Exchange Network,Classic Cars,Medium,Shipped,6,9,Americas,North America,Ottawa
10322,2004-11-04,46,61.99,2851.54,United States,Online Diecast Creations Co.,Classic Cars,Small,Shipped,6,79,Americas,North America,"Washington, D.C."
10334,2004-11-19,26,100.0,3188.12,Sweden,"Volvo Model Replicas, Co",Classic Cars,Medium,On Hold,6,15,Europe,Northern Europe,Stockholm
10347,2004-11-29,27,100.0,4428.0,Australia,"Australian Collectors, Co.",Classic Cars,Medium,Shipped,6,90,Oceania,Australia and New Zealand,Canberra
10357,2004-12-10,43,100.0,5780.92,United States,Mini Gifts Distributors Ltd.,Classic Cars,Medium,Shipped,6,42,Americas,North America,"Washington, D.C."
10370,2005-01-20,35,65.63,2297.05,Australia,"Anna's Decorations, Ltd",Classic Cars,Small,Shipped,6,77,Oceania,Australia and New Zealand,Canberra
10381,2005-02-17,37,100.0,6231.54,United States,Corporate Gift Ideas Co.,Classic Cars,Medium,Shipped,6,51,Americas,North America,"Washington, D.C."
10391,2005-03-09,37,46.9,1735.3,Australia,"Anna's Decorations, Ltd",Classic Cars,Small,Shipped,6,63,Oceania,Australia and New Zealand,Canberra
10411,2005-05-01,27,100.0,4427.73,Canada,Quebec Home Shopping Network,Classic Cars,Medium,Shipped,6,96,Americas,North America,Ottawa
10425,2005-05-31,38,100.0,5894.94,France,La Rochelle Gifts,Classic Cars,Medium,In Process,6,52,Europe,Western Europe,Paris
10108,2003-03-03,33,100.0,5265.15,Philippines,Cruz & Sons Co.,Classic Cars,Medium,Shipped,7,96,Asia,South-Eastern Asia,Manila
10122,2003-05-08,42,100.0,7599.9,France,Marseille Mini Autos,Classic Cars,Large,Shipped,7,4,Europe,Western Europe,Paris
10135,2003-07-02,42,100.0,8008.56,United States,Mini Gifts Distributors Ltd.,Classic Cars,Large,Shipped,7,94,Americas,North America,"Washington, D.C."
10147,2003-09-05,48,100.0,9245.76,United States,Collectables For Less Inc.,Classic Cars,Large,Shipped,7,23,Americas,North America,"Washington, D.C."
10159,2003-10-10,41,100.0,8296.35,United States,Corporate Gift Ideas Co.,Classic Cars,Large,Shipped,7,15,Americas,North America,"Washington, D.C."
10169,2003-11-04,30,100.0,5019.9,Australia,"Anna's Decorations, Ltd",Classic Cars,Medium,Shipped,7,43,Oceania,Australia and New Zealand,Canberra
10181,2003-11-12,27,100.0,5411.07,Norway,Herkku Gifts,Classic Cars,Medium,Shipped,7,29,Europe,Northern Europe,Oslo
10191,2003-11-20,21,100.0,3840.9,Germany,"Toms Spezialitten, Ltd",Classic Cars,Medium,Shipped,7,36,Europe,Western Europe,Berlin
10203,2003-12-02,20,100.0,3930.4,Spain,Euro Shopping Channel,Classic Cars,Medium,Shipped,7,13,Europe,Southern Europe,Madrid
10211,2004-01-15,41,100.0,7498.9,France,Auto Canal Petit,Classic Cars,Large,Shipped,7,32,Europe,Western Europe,Paris
10225,2004-02-22,27,100.0,4517.91,Switzerland,"Vida Sport, Ltd",Classic Cars,Medium,Shipped,7,71,Europe,Western Europe,Bern
10238,2004-04-09,28,100.0,5774.72,Denmark,Danish Wholesale Imports,Classic Cars,Medium,Shipped,7,59,Europe,Northern Europe,Copenhagen
10253,2004-06-01,24,100.0,3922.56,United Kingdom,"UK Collectables, Ltd.",Classic Cars,Medium,Cancelled,7,86,Europe,Northern Europe,London
10266,2004-07-06,44,100.0,9160.36,Italy,L'ordine Souveniers,Classic Cars,Large,Shipped,7,28,Europe,Southern Europe,Rome
10276,2004-08-02,50,100.0,9631.0,United States,Online Mini Collectables,Classic Cars,Large,Shipped,7,66,Americas,North America,"Washington, D.C."
10287,2004-08-30,21,100.0,3432.24,Switzerland,"Vida Sport, Ltd",Classic Cars,Medium,Shipped,7,42,Europe,Western Europe,Bern
10300,2003-10-04,33,100.0,5521.89,Germany,"Blauer See Auto, Co.",Classic Cars,Medium,Shipped,7,45,Europe,Western Europe,Berlin
10310,2004-10-16,33,100.0,6934.62,Germany,"Toms Spezialitten, Ltd",Classic Cars,Medium,Shipped,7,62,Europe,Western Europe,Berlin
10320,2004-11-03,31,100.0,6876.11,Sweden,"Volvo Model Replicas, Co",Classic Cars,Medium,Shipped,7,57,Europe,Northern Europe,Stockholm
10329,2004-11-15,41,71.47,2930.27,United States,Land of Toys Inc.,Classic Cars,Small,Shipped,7,6,Americas,North America,"Washington, D.C."
10341,2004-11-24,45,79.65,3584.25,Austria,Salzburg Collectables,Classic Cars,Medium,Shipped,7,28,Europe,Central Europe,Vienna
10363,2005-01-06,33,85.39,2817.87,Finland,Suominen Souveniers,Classic Cars,Small,Shipped,7,28,Europe,Northern Europe,Helsinki
10375,2005-02-03,45,76.0,3420.0,France,La Rochelle Gifts,Classic Cars,Medium,Shipped,7,44,Europe,Western Europe,Paris
10389,2005-03-03,26,99.04,2575.04,Sweden,Scandinavian Gift Ideas,Classic Cars,Small,Shipped,7,84,Europe,Northern Europe,Stockholm
10419,2005-05-17,12,100.0,1961.28,Austria,Salzburg Collectables,Classic Cars,Small,Shipped,7,30,Europe,Central Europe,Vienna
10105,2003-02-11,41,100.0,8690.36,Denmark,Danish Wholesale Imports,Classic Cars,Large,Shipped,8,62,Europe,Northern Europe,Copenhagen
10117,2003-04-16,33,100.0,6034.38,Singapore,"Dragon Souveniers, Ltd.",Classic Cars,Medium,Shipped,8,75,Asia,South-Eastern Asia,Singapore
10127,2003-06-03,46,100.0,11279.2,United States,Muscle Machine Inc,Classic Cars,Large,Shipped,8,92,Americas,North America,"Washington, D.C."
