pais,continente,subregion,capital
Pitcairn Islands,Oceania,Polynesia,Adamstown
Barbados,Americas,Caribbean,Bridgetown
Madagascar,Africa,Eastern Africa,Antananarivo
United Kingdom,Europe,Northern Europe,London
Portugal,Europe,Southern Europe,Lisbon
Greenland,Americas,North America,Nuuk
American Samoa,Oceania,Polynesia,Pago Pago
South Georgia,Antarctic,,King Edward Point
Turkmenistan,Asia,Central Asia,Ashgabat
Guadeloupe,Americas,Caribbean,Basse-Terre
Dominica,Americas,Caribbean,Roseau
Solomon Islands,Oceania,Melanesia,Honiara
Saint Pierre and Miquelon,Americas,North America,Saint-Pierre
Rwanda,Africa,Eastern Africa,Kigali
Norfolk Island,Oceania,Australia and New Zealand,Kingston
Panama,Americas,Central America,Panama City
Bahamas,Americas,Caribbean,Nassau
Tokelau,Oceania,Polynesia,Fakaofo
Montenegro,Europe,Southeast Europe,Podgorica
Åland Islands,Europe,Northern Europe,Mariehamn
Niue,Oceania,Polynesia,Alofi
Argentina,Americas,South America,Buenos Aires
Cuba,Americas,Caribbean,Havana
Cayman Islands,Americas,Caribbean,George Town
Kazakhstan,Asia,Central Asia,Astana
Russia,Europe,Eastern Europe,Moscow
India,Asia,Southern Asia,New Delhi
British Virgin Islands,Americas,Caribbean,Road Town
Guam,Oceania,Micronesia,Hagåtña
Myanmar,Asia,South-Eastern Asia,Naypyidaw
DR Congo,Africa,Middle Africa,Kinshasa
Mauritius,Africa,Eastern Africa,Port Louis
Falkland Islands,Americas,South America,Stanley
Northern Mariana Islands,Oceania,Micronesia,Saipan
Ukraine,Europe,Eastern Europe,Kyiv
Monaco,Europe,Western Europe,Monaco
Tajikistan,Asia,Central Asia,Dushanbe
Malaysia,Asia,South-Eastern Asia,Kuala Lumpur
Somalia,Africa,Eastern Africa,Mogadishu
Antigua and Barbuda,Americas,Caribbean,Saint John's
Central African Republic,Africa,Middle Africa,Bangui
Macau,Asia,Eastern Asia,
Israel,Asia,Western Asia,Jerusalem
Nigeria,Africa,Western Africa,Abuja
Honduras,Americas,Central America,Tegucigalpa
Sierra Leone,Africa,Western Africa,Freetown
Tunisia,Africa,Northern Africa,Tunis
Lithuania,Europe,Northern Europe,Vilnius
Iraq,Asia,Western Asia,Baghdad
Switzerland,Europe,Western Europe,Bern
Chile,Americas,South America,Santiago
Taiwan,Asia,Eastern Asia,Taipei
Vietnam,Asia,South-Eastern Asia,Hanoi
Bangladesh,Asia,Southern Asia,Dhaka
Vanuatu,Oceania,Melanesia,Port Vila
Pakistan,Asia,Southern Asia,Islamabad
Latvia,Europe,Northern Europe,Riga
Malta,Europe,Southern Europe,Valletta
Seychelles,Africa,Eastern Africa,Victoria
Montserrat,Americas,Caribbean,Plymouth
Anguilla,Americas,Caribbean,The Valley
Greece,Europe,Southern Europe,Athens
Czechia,Europe,Central Europe,Prague
Zambia,Africa,Eastern Africa,Lusaka
Hong Kong,Asia,Eastern Asia,City of Victoria
United States,Americas,North America,"Washington, D.C."
Eswatini,Africa,Southern Africa,Mbabane
Slovenia,Europe,Central Europe,Ljubljana
Caribbean Netherlands,Americas,Caribbean,Kralendijk
Maldives,Asia,Southern Asia,Malé
Ghana,Africa,Western Africa,Accra
Paraguay,Americas,South America,Asunción
Mozambique,Africa,Eastern Africa,Maputo
Palestine,Asia,Western Asia,Ramallah
Moldova,Europe,Eastern Europe,Chișinău
Liberia,Africa,Western Africa,Monrovia
Liechtenstein,Europe,Western Europe,Vaduz
Peru,Americas,South America,Lima
Qatar,Asia,Western Asia,Doha
Christmas Island,Oceania,Australia and New Zealand,Flying Fish Cove
Georgia,Asia,Western Asia,Tbilisi
Ecuador,Americas,South America,Quito
Philippines,Asia,South-Eastern Asia,Manila
Ethiopia,Africa,Eastern Africa,Addis Ababa
United States Virgin Islands,Americas,Caribbean,Charlotte Amalie
Syria,Asia,Western Asia,Damascus
Romania,Europe,Southeast Europe,Bucharest
Guatemala,Americas,Central America,Guatemala City
Nepal,Asia,Southern Asia,Kathmandu
Réunion,Africa,Eastern Africa,Saint-Denis
Benin,Africa,Western Africa,Porto-Novo
Kuwait,Asia,Western Asia,Kuwait City
Suriname,Americas,South America,Paramaribo
New Caledonia,Oceania,Melanesia,Nouméa
Sudan,Africa,Northern Africa,Khartoum
United States Minor Outlying Islands,Americas,North America,Washington DC
Chad,Africa,Middle Africa,N'Djamena
Uruguay,Americas,South America,Montevideo
Bosnia and Herzegovina,Europe,Southeast Europe,Sarajevo
Trinidad and Tobago,Americas,Caribbean,Port of Spain
Sweden,Europe,Northern Europe,Stockholm
Iceland,Europe,Northern Europe,Reykjavik
Haiti,Americas,Caribbean,Port-au-Prince
Brunei,Asia,South-Eastern Asia,Bandar Seri Begawan
French Southern and Antarctic Lands,Antarctic,,Port-aux-Français
Guernsey,Europe,Northern Europe,St. Peter Port
Croatia,Europe,Southeast Europe,Zagreb
Saint Barthélemy,Americas,Caribbean,Gustavia
Mongolia,Asia,Eastern Asia,Ulan Bator
Aruba,Americas,Caribbean,Oranjestad
Republic of the Congo,Africa,Middle Africa,Brazzaville
São Tomé and Príncipe,Africa,Middle Africa,São Tomé
Yemen,Asia,Western Asia,Sana'a
Equatorial Guinea,Africa,Middle Africa,Ciudad de la Paz
Svalbard and Jan Mayen,Europe,Northern Europe,Longyearbyen
Colombia,Americas,South America,Bogotá
Guinea-Bissau,Africa,Western Africa,Bissau
Kiribati,Oceania,Micronesia,South Tarawa
Germany,Europe,Western Europe,Berlin
Thailand,Asia,South-Eastern Asia,Bangkok
Isle of Man,Europe,Northern Europe,Douglas
Bhutan,Asia,Southern Asia,Thimphu
Gabon,Africa,Middle Africa,Libreville
Sint Maarten,Americas,Caribbean,Philipsburg
Sri Lanka,Asia,Southern Asia,Sri Jayawardenepura Kotte
Albania,Europe,Southeast Europe,Tirana
New Zealand,Oceania,Australia and New Zealand,Wellington
Algeria,Africa,Northern Africa,Algiers
San Marino,Europe,Southern Europe,City of San Marino
Micronesia,Oceania,Micronesia,Palikir
"Saint Helena, Ascension and Tristan da Cunha",Africa,Western Africa,Jamestown
Curaçao,Americas,Caribbean,Willemstad
El Salvador,Americas,Central America,San Salvador
Martinique,Americas,Caribbean,Fort-de-France
Nauru,Oceania,Micronesia,Yaren
Vatican City,Europe,Southern Europe,Vatican City
Grenada,Americas,Caribbean,St. George's
Tonga,Oceania,Polynesia,Nuku'alofa
Burundi,Africa,Eastern Africa,Gitega
Samoa,Oceania,Polynesia,Apia
Denmark,Europe,Northern Europe,Copenhagen
Venezuela,Americas,South America,Caracas
Austria,Europe,Central Europe,Vienna
Slovakia,Europe,Central Europe,Bratislava
China,Asia,Eastern Asia,Beijing
British Indian Ocean Territory,Africa,Eastern Africa,Diego Garcia
French Polynesia,Oceania,Polynesia,Papeetē
Bolivia,Americas,South America,Sucre
Antarctica,Antarctic,,
Libya,Africa,Northern Africa,Tripoli
Estonia,Europe,Northern Europe,Tallinn
Cook Islands,Oceania,Polynesia,Avarua
Puerto Rico,Americas,Caribbean,San Juan
Belarus,Europe,Eastern Europe,Minsk
Faroe Islands,Europe,Northern Europe,Tórshavn
Saint Vincent and the Grenadines,Americas,Caribbean,Kingstown
Dominican Republic,Americas,Caribbean,Santo Domingo
Hungary,Europe,Central Europe,Budapest
Bahrain,Asia,Western Asia,Manama
Cameroon,Africa,Middle Africa,Yaoundé
Canada,Americas,North America,Ottawa
Eritrea,Africa,Eastern Africa,Asmara
Singapore,Asia,South-Eastern Asia,Singapore
Costa Rica,Americas,Central America,San José
Serbia,Europe,Southeast Europe,Belgrade
Poland,Europe,Central Europe,Warsaw
Jordan,Asia,Western Asia,Amman
